Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
09/27/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/28/2025,11:00 AM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/28/2025,1:40 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/28/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/28/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/29/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/29/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/30/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/30/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
10/01/2025,4:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
10/02/2025,4:20 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
10/02/2025,7:00 PM,SIFF Cinema Uptown,Eleanor the Great,98,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_EleanortheGreat_1600x900.jpg,,,
09/17/2025,6:30 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/19/2025,5:00 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/19/2025,7:30 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
09/20/2025,2:15 PM,SIFF Cinema Uptown,The Baltimorons,99,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_Baltimorons_1600x900.jpg,,,
